q4,q4h,q6,q6h,label
0.12249,0.08155,0.472245,0.403179, hcp
0.09335,0.08089,0.425597,0.433871, hcp
0.073635,0.091818,0.446939,0.431945, hcp
0.112876,0.066395,0.473666,0.432604, hcp
0.040684,0.036002,0.473664,0.366052, bcc
0.077314,0.025076,0.464646,0.427188, bcc
0.109066,0.082944,0.388216,0.431995, hcp
0.141332,0.020338,0.462208,0.387065, bcc
0.084589,0.043788,0.495053,0.410251, bcc
0.116165,0.076794,0.449743,0.438284, hcp
0.076991,0.01914,0.376275,0.430959, bcc
0.12759,0.046521,0.447743,0.394327, bcc
0.054429,0.09477,0.475283,0.423923, hcp
0.077399,0.038538,0.409017,0.429366, bcc
0.128765,0.090705,0.434901,0.400839, hcp
0.09654,0.025429,0.491678,0.383332, bcc
0.092944,0.086679,0.510345,0.417418, hcp
0.136505,0.031927,0.455637,0.408523, bcc
0.110878,0.013411,0.46922,0.429413, bcc
0.089522,0.096217,0.408467,0.413869, hcp
0.097306,0.046554,0.463823,0.460319, bcc
0.14525,0.083292,0.462818,0.429508, hcp
0.103145,0.10323,0.432211,0.442666, hcp
0.123509,0.077469,0.504686,0.417872, hcp
0.109494,0.035874,0.44418,0.428401, bcc
0.076059,0.039205,0.451981,0.433797, bcc
0.058576,0.041778,0.408999,0.405175, bcc
0.093565,0.101608,0.431635,0.404651, hcp
0.129506,0.024893,0.470684,0.38462, bcc
0.10561,0.083196,0.437516,0.420409, hcp
0.125379,0.080499,0.485226,0.422977, hcp
0.11322,0.089487,0.45637,0.410621, hcp
0.099337,0.080257,0.399815,0.44596, hcp
0.0997,0.02393,0.45728,0.412535, bcc
0.053232,0.091445,0.496021,0.394264, hcp
0.11789,0.090802,0.42302,0.403529, hcp
0.145489,0.085753,0.428802,0.415742, hcp
0.096392,0.091233,0.391314,0.38958, hcp
0.075648,0.006036,0.470614,0.433213, bcc
0.052742,0.0806,0.514533,0.43378, hcp
0.106517,0.037221,0.434908,0.377254, bcc
0.131949,0.078299,0.419419,0.411244, hcp
0.11229,0.068621,0.42187,0.450909, hcp
0.14955,0.099865,0.433001,0.407264, hcp
0.072343,0.025951,0.447544,0.384708, bcc
